ID,ClientProfitCenterID,BudgetMonth,BudgetYear,Amount
1144,133,10,2024,24
1145,133,11,2024,21
1146,133,12,2024,7
1147,133,1,2025,8
1148,133,2,2025,16
1149,133,3,2025,19
1150,133,4,2025,20
1151,133,5,2025,22
1152,133,6,2025,23
1153,133,7,2025,23
1154,133,8,2025,19
1155,133,9,2025,25
1156,133,10,2025,24
1157,133,11,2025,23
1158,133,12,2025,10
1159,133,1,2026,18
1160,133,2,2026,20
1161,133,3,2026,26
1162,83,1,2024,7
1163,83,2,2024,15
1164,83,3,2024,18
1165,83,4,2024,20
1166,83,5,2024,22
1167,83,6,2024,22
1168,83,7,2024,15
1169,83,8,2024,12
1170,83,9,2024,22
1171,83,10,2024,22
1172,83,11,2024,19
1173,83,12,2024,6
1174,83,1,2025,7
1175,83,2,2025,15
1176,83,3,2025,18
1177,83,4,2025,25
1178,83,5,2025,28
1179,83,6,2025,29
1180,83,7,2025,30
1181,83,8,2025,25
1182,83,9,2025,32
1183,83,10,2025,31
1184,83,11,2025,30
1185,83,12,2025,13
1186,83,1,2026,23
1187,83,2,2026,26
1188,83,3,2026,34
1189,155,1,2024,6
1190,155,2,2024,13
1191,155,3,2024,15
1192,155,4,2024,17
1193,155,5,2024,19
1194,155,6,2024,19
1195,155,7,2024,13
1196,155,8,2024,10
1197,155,9,2024,19
1198,155,10,2024,19
1199,155,11,2024,16
1200,155,12,2024,5
1201,155,1,2025,6
1202,155,2,2025,13
1203,155,3,2025,15
1204,155,4,2025,474
1205,155,5,2025,525
1206,155,6,2025,548
1207,155,7,2025,552
1208,155,8,2025,458
1209,155,9,2025,598
1210,155,10,2025,579
1211,155,11,2025,557
1212,155,12,2025,251
1213,155,1,2026,432
1214,155,2,2026,484
1215,155,3,2026,626
1216,172,1,2024,6
1217,172,2,2024,13
1218,172,3,2024,15
1219,172,4,2024,17
1220,172,5,2024,18
1221,172,6,2024,18
1222,172,7,2024,13
1223,172,8,2024,10
1224,172,9,2024,18
1225,172,10,2024,18
1226,172,11,2024,16
1227,172,12,2024,5
1228,172,1,2025,6
